team,season,wins,losses,_id
Duke,2016,4,8,67127c950f4ebd8209416fed
Duke,2017,7,6,67127c950f4ebd8209416fee
Duke,2018,8,5,67127c950f4ebd8209416fef
Duke,2019,5,7,67127c950f4ebd8209416ff0
Duke,2020,2,9,67127c950f4ebd8209416ff1
Duke,2021,3,9,67127c950f4ebd8209416ff2
Duke,2022,9,4,67127c950f4ebd8209416ff3
Duke,2023,8,5,67127c950f4ebd8209416ff4
Duke,2024,0,0,67127c950f4ebd8209416ff5
Michigan State,2016,3,9,67127c950f4ebd8209416ff6
Michigan State,2017,10,3,67127c950f4ebd8209416ff7
Michigan State,2018,7,6,67127c950f4ebd8209416ff8
Michigan State,2019,7,6,67127c950f4ebd8209416ff9
Michigan State,2020,2,5,67127c950f4ebd8209416ffa
Michigan State,2021,11,2,67127c950f4ebd8209416ffb
Michigan State,2022,5,7,67127c950f4ebd8209416ffc
Michigan State,2023,4,8,67127c950f4ebd8209416ffd
Michigan State,2024,0,0,67127c950f4ebd8209416ffe
New Mexico,2016,9,4,67127c950f4ebd8209416fff
New Mexico,2017,3,9,67127c950f4ebd8209417000
New Mexico,2018,3,9,67127c950f4ebd8209417001
New Mexico,2019,2,10,67127c950f4ebd8209417002
New Mexico,2020,2,5,67127c950f4ebd8209417003
New Mexico,2021,3,9,67127c950f4ebd8209417004
New Mexico,2022,2,10,67127c950f4ebd8209417005
New Mexico,2023,4,8,67127c950f4ebd8209417006
New Mexico,2024,0,0,67127c950f4ebd8209417007
Fresno State,2016,1,11,67127c950f4ebd8209417008
Fresno State,2017,10,4,67127c950f4ebd8209417009
Fresno State,2018,12,2,67127c950f4ebd820941700a
Fresno State,2019,4,8,67127c950f4ebd820941700b
Fresno State,2020,3,3,67127c950f4ebd820941700c
Fresno State,2021,10,3,67127c950f4ebd820941700d
Fresno State,2022,10,4,67127c950f4ebd820941700e
Fresno State,2023,9,4,67127c950f4ebd820941700f
Fresno State,2024,0,0,67127c950f4ebd8209417010
UConn,2016,3,9,67127c950f4ebd8209417011
UConn,2017,3,9,67127c950f4ebd8209417012
UConn,2018,1,11,67127c950f4ebd8209417013
UConn,2019,2,10,67127c950f4ebd8209417014
UConn,2020,0,0,67127c950f4ebd8209417015
