player_height,player_weight,player_class,usage_overall,stats_passing_pct,win_rate,is_power_5,class_risk_factor,win_rate_class_risk_factor,is_not_same_coach_next_season,yoy_win_rate,yoy_stats_passing_pct,yoy_usage_overall,team_coach_encoded,team_name_encoded,team_conference_ACC,team_conference_American Athletic,team_conference_Big 12,team_conference_Big Ten,team_conference_Conference USA,team_conference_FBS Independents,team_conference_Mid-American,team_conference_Mountain West,team_conference_Pac-12,team_conference_SEC,team_conference_Sun Belt
74.0,201.0,4.0,0.0013,1.0,0.4166666666666667,1.0,0.1307,0.0544583333333333,0.0,-0.0448717948717948,1.0,999.0013,69.0,122.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74.0,201.0,4.0,0.3123,0.569,0.1538461538461538,0.0,0.1307,0.0201076923076923,0.0,-0.2628205128205128,-0.431,0.311,174.0,88.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74.0,208.0,4.0,-999.0,0.769,0.4615384615384615,1.0,0.1307,0.0603230769230769,1.0,-999.0,-999.0,-999.0,180.0,127.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74.0,208.0,4.0,-999.0,0.0,0.25,1.0,0.1307,0.032675,1.0,-0.2115384615384615,-0.769,0.0,188.0,127.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78.0,232.0,4.0,0.0164,0.778,0.7692307692307693,1.0,0.1307,0.1005384615384615,0.0,-999.0,-999.0,-999.0,177.0,80.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78.0,232.0,4.0,0.0175,0.6,0.7692307692307693,1.0,0.1307,0.1005384615384615,0.0,0.0,-0.178,0.0011,177.0,80.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78.0,232.0,4.0,0.6382,0.592,0.5384615384615384,1.0,0.1307,0.070376923076923,0.0,-0.2307692307692308,-0.008,0.6207,177.0,80.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
74.0,205.0,4.0,0.2331,0.576,0.4166666666666667,0.0,0.1307,0.0544583333333333,1.0,-999.0,-999.0,-999.0,27.0,69.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
74.0,205.0,4.0,0.5584,0.61,0.25,0.0,0.1307,0.032675,0.0,-0.1666666666666666,0.034,0.3253,98.0,69.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
74.0,205.0,4.0,0.5552,0.604,0.6153846153846154,0.0,0.1307,0.0804307692307692,0.0,0.3653846153846154,-0.006,-0.0031999999999999,98.0,69.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73.0,225.0,4.0,0.0285,0.474,0.5384615384615384,1.0,0.1307,0.070376923076923,0.0,-999.0,-999.0,-999.0,227.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73.0,225.0,4.0,0.1337,0.608,0.5384615384615384,1.0,0.1307,0.070376923076923,0.0,0.0,0.134,0.1052,227.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73.0,225.0,4.0,-999.0,0.569,0.25,0.0,0.1307,0.032675,0.0,-0.2884615384615384,-0.039,-999.1337,212.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73.0,225.0,4.0,-999.0,0.0,0.0,0.0,0.1307,0.0,0.0,-0.25,-0.569,0.0,212.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73.0,216.0,4.0,0.008,0.5,0.6923076923076923,1.0,0.1307,0.0904846153846153,0.0,-999.0,-999.0,-999.0,162.0,58.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73.0,216.0,4.0,0.6787,0.539,0.7692307692307693,1.0,0.1307,0.1005384615384615,0.0,0.0769230769230769,0.039,0.6707,162.0,58.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
73.0,216.0,4.0,0.264,0.523,0.5384615384615384,1.0,0.1307,0.070376923076923,1.0,-0.2307692307692308,-0.016,-0.4146999999999999,162.0,58.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72.0,195.0,4.0,0.0112,0.0,0.4166666666666667,0.0,0.1307,0.0544583333333333,1.0,-999.0,-999.0,-999.0,252.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
72.0,195.0,4.0,0.0165,0.1,0.1666666666666666,0.0,0.1307,0.0217833333333333,0.0,-0.25,0.1,0.0053,33.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
72.0,195.0,4.0,0.0026,0.0,0.7692307692307693,0.0,0.1307,0.1005384615384615,0.0,0.6025641025641026,-0.1,-0.0139,33.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
74.0,205.0,4.0,0.2216,0.45,0.25,0.0,0.1307,0.032675,1.0,-999.0,-999.0,-999.0,95.0,22.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74.0,205.0,4.0,0.25,0.58,0.4166666666666667,0.0,0.1307,0.0544583333333333,1.0,0.1666666666666666,0.1299999999999999,0.0284,115.0,22.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75.0,210.0,4.0,0.3181,0.647,0.3333333333333333,0.0,0.1307,0.0435666666666666,0.0,-999.0,-999.0,-999.0,216.0,118.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75.0,210.0,4.0,0.2386,0.485,0.0,0.0,0.1307,0.0,1.0,-0.3333333333333333,-0.162,-0.0794999999999999,216.0,118.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75.0,210.0,4.0,0.1383,0.507,0.0833333333333333,0.0,0.1307,0.0108916666666666,0.0,0.0833333333333333,0.022,-0.1003,53.0,118.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75.0,220.0,4.0,0.0187,0.5,0.7692307692307693,0.0,0.1307,0.1005384615384615,1.0,-999.0,-999.0,-999.0,101.0,129.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75.0,220.0,4.0,0.0236,0.727,0.4615384615384615,0.0,0.1307,0.0603230769230769,1.0,-0.3076923076923077,0.2269999999999999,0.0048999999999999,186.0,129.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
